fault_id,node_id,visit_id,visit_date:,original_reported_date,node_age,node_type,fault_type,engineer_skill_level,engineer_note,outcome
FAULT4608,NODE347,0,2020-06-07 00:00:00,2020-06-01 00:00:00,15,TYPE4,FAULT3,LEVEL3,63 13 143 129 52 84 114 163 186 82 54,SUCCESS
FAULT8876,NODE179,0,2020-02-10 00:00:00,2020-02-07 00:00:00,17,TYPE1,FAULT1,LEVEL1,54 165 71 63 113 77 47 135 145 154 107 13 30 89,SUCCESS
FAULT8221,NODE303,1,2020-05-27 00:00:00,2020-05-16 00:00:00,8,TYPE5,FAULT3,LEVEL4,155 131 53 103 192 164 82 156 60 22,FAIL
FAULT2481,NODE316,0,2020-11-13 00:00:00,2020-11-05 00:00:00,2,TYPE1,FAULT5,LEVEL4,202 124 92 185 155,SUCCESS
FAULT2647,NODE492,3,2021-01-03 00:00:00,2020-12-02 00:00:00,14,TYPE1,FAULT6,LEVEL1,70 42 51 172 120 58 20 138,FAIL
FAULT5398,NODE51,1,2020-05-25 00:00:00,2020-05-16 00:00:00,20,TYPE4,FAULT4,LEVEL4,194 173 202 178 75 176 89 61 51 146 86,FAIL
FAULT2524,NODE354,0,2020-07-02 00:00:00,2020-06-23 00:00:00,19,TYPE1,FAULT7,LEVEL1,195 104 67 69 57 48 1 101 147 187 202,FAIL
FAULT9666,NODE195,1,2020-03-19 00:00:00,2020-03-15 00:00:00,19,TYPE3,FAULT9,LEVEL4,122 121 48 15 159 22 60,SUCCESS
FAULT5926,NODE471,0,2020-12-26 00:00:00,2020-12-19 00:00:00,4,TYPE4,FAULT2,LEVEL1,150 0 109 97 52 45 126 90 91 124,FAIL
FAULT3110,NODE470,0,2020-06-26 00:00:00,2020-06-19 00:00:00,4,TYPE1,FAULT1,LEVEL1,154 56 33 166 107 196 132 108 179 178 183 148 138 187 201,SUCCESS
FAULT3154,NODE201,1,2020-07-01 00:00:00,2020-06-20 00:00:00,15,TYPE2,FAULT7,LEVEL5,170 100 144 175 123 140 164,FAIL
FAULT4378,NODE385,0,2020-07-17 00:00:00,2020-07-13 00:00:00,6,TYPE3,FAULT5,LEVEL5,120 32 58 172 130 45 184 199 47 23 68 121 189,SUCCESS
